,OR,Lower CI,Higher CI
9-11th grade (includes 12th but no diploma),1.0337816300052258,0.7017127779028474,1.5229941540044534
College graduate or above,0.9181463625353568,0.6853685234856997,1.229984620171276
High school graduate / GED or equivalent,1.1105545005676625,0.8209551527243517,1.5023126350303817
Less than 9th grade,0.9518382929553526,0.606331436090512,1.4942259002400038
Female,0.7225266971080049,0.4899311426178813,1.0655473445601482
Male,0.7512172767231665,0.5007676740839114,1.1269245721176655
LBXTR,4.008622080775008,3.0952868395335638,5.191457793584791
RIDAGEYR,1.023122241956912,1.016229290615846,1.0300619472920114
URXUCR,1.2152083706081853,1.0812997358958087,1.3657003095194453
URXUMS,1.0670415478450914,0.919314730162128,1.2385069307296448
