,coef,std err,t,P>|t|,[0.025,0.975]
9-11th grade (includes 12th but no diploma),0.0319,0.039,0.818,0.413,-0.045,0.108
College graduate or above,-0.0111,0.03,-0.363,0.717,-0.071,0.049
High school graduate / GED or equivalent,0.0317,0.031,1.023,0.306,-0.029,0.093
Less than 9th grade,0.0285,0.044,0.644,0.52,-0.058,0.115
Female,0.3564,0.04,8.97,0.0,0.278,0.434
Male,0.3739,0.041,9.019,0.0,0.293,0.455
LBXTR,0.0845,0.01,8.068,0.0,0.064,0.105
RIDAGEYR,0.0055,0.001,7.973,0.0,0.004,0.007
URXUCR,0.0379,0.012,3.244,0.001,0.015,0.061
URXUMS,0.0077,0.012,0.627,0.531,-0.016,0.032
